header_tag_id,header_tag,is_in_document_structure_elements_set,is_in_document_head_elements_set,is_in_document_body_elements_set,is_in_block_elements_set,is_in_basic_text_set,is_in_section_headings_set,is_in_lists_set,is_in_other_block_elements_set,is_in_inline_elements_set,is_in_anchor_set,is_in_phrase_elements_set,is_in_general_set,is_in_computer_phrase_elements_set,is_in_presentation_set,is_in_span_set,is_in_other_inline_elements_set,is_in_images_and_objects_set,is_in_forms_set,is_in_tables_set,is_in_frames_set,is_in_historic_elements_set,is_in_non_standard_elements_set
0,a,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
1,abbr,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False
2,acronym,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False
3,address,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,applet,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
5,area,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
6,article,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,aside,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,audio,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
9,b,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False
10,base,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,basefont,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,bdi,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
13,bdo,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
14,big,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False
15,blink,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
16,blockquote,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,body,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,br,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
19,button,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
20,canvas,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
21,caption,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
22,center,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,cite,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
24,code,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False
25,col,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
26,colgroup,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
27,data,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
28,datalist,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
29,dd,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,del,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
31,dfn,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False
32,dir,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
33,div,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
34,dl,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35,dt,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36,em,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False
37,embed,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
